Index,Time,voltage,velocity
0,0.000000,0,0
1,0.003300,0,0
2,0.005279,0,0
3,0.007538,0,0
4,0.009302,0,0
5,0.011315,0,0
6,0.013296,0,0
7,0.015298,0,0
8,0.017300,0,0
9,0.019302,0,0
10,0.021292,0,0
11,0.023297,0,0
12,0.025276,0,0
13,0.027278,0,0
14,0.029280,0,0
15,0.031282,0,0
16,0.033296,0,0
17,0.035276,0,0
18,0.037278,0,0
19,0.039280,0,0
20,0.041281,0,0
21,0.043274,0,0
22,0.045303,0,0
23,0.047282,0,0
24,0.049273,0,0
25,0.051275,0,0
26,0.053279,0,0
27,0.055281,0,0
28,0.057298,0,0
29,0.059277,0,0
30,0.061279,0,0
31,0.063283,0,0
32,0.065274,0,0
33,0.067298,0,0
34,0.069277,0,0
35,0.071279,0,0
36,0.073283,0,0
37,0.075274,0,0
38,0.077276,0,0
39,0.079278,0,0
40,0.081296,0,0
41,0.083278,0,0
42,0.085280,0,0
43,0.087282,0,0
44,0.089283,0,0
45,0.091274,0,0
46,0.093295,0,0
47,0.095274,0,0
48,0.097276,0,0
49,0.099278,0,0
50,0.101280,0,0
51,0.103306,0,0
52,0.105324,0,0
53,0.107303,0,0
54,0.109322,0,0
55,0.111301,0,0
56,0.113294,0,0
57,0.115295,0,0
58,0.117320,0,0
59,0.119300,0,0
60,0.121301,0,0
61,0.123294,0,0
62,0.125296,0,0
63,0.127297,0,0
64,0.129276,0,0
65,0.131278,0,0
66,0.133282,0,0
67,0.135272,0,0
68,0.137274,0,0
69,0.139298,0,0
70,0.141277,0,0
71,0.143281,0,0
72,0.145283,0,0
73,0.147274,0,0
74,0.149276,0,0
75,0.151293,0,0
76,0.153274,0,0
77,0.155276,0,0
78,0.157278,0,0
79,0.159280,0,0
80,0.161282,0,0
81,0.163297,0,0
82,0.165322,0,0
83,0.167321,0,0
84,0.169300,0,0
85,0.171302,0,0
86,0.173295,0,0
87,0.175304,0,0
88,0.177283,0,0
89,0.179274,0,0
90,0.181275,0,0
91,0.183279,0,0
92,0.185281,0,0
93,0.187313,0,0
94,0.189303,0,0
95,0.191294,0,0
96,0.193298,0,0
97,0.195299,0,0
98,0.197300,0,0
